Incident Date,State,City Or County,Address,# Killed,# Injured,AgeGroup
29.10.16,Alabama,Muscle Shoals,305 W Edison Ave,1,0,Adult
27.10.16,Michigan,Battle Creek,1st block of West Fountain Street,1,0,Adult
27.10.16,Missouri,Kansas City,18th and Topping,1,0,Adult
24.10.16,South Carolina,Harleyville,Cricket Drive,1,0,Adult
22.10.16,Louisiana,Larose,East Avenue C,1,0,Adult
22.10.16,Georgia,Toombs (county),998 Johnson Corner Road,1,0,Adult
21.10.16,Connecticut,Bristol,240 Woodland Street,1,0,Adult
20.10.16,California,Stockton,8926 Ledgewood Avenue,1,0,Adult
18.10.16,Mississippi,Pittsboro,County Road 300,1,0,Adult
17.10.16,Oregon,Albany,2530 SE Pacific Boulevard,1,0,Adult
16.10.16,Washington,Yacolt,34900 block of NE Thompson Road,1,0,Adult
16.10.16,North Dakota,Bismarck,106th St SE,1,0,Adult
15.10.16,Missouri,Forsyth,665 Skyline Drive,1,0,Adult
15.10.16,Missouri,Caulfield,2810 Cloud 9 Drive,1,0,Adult
15.10.16,Virginia,Sandston,Treva Road,1,0,Adult
13.10.16,Illinois,Waukegan,1100 block of Greenfield Avenue,1,0,Adult
13.10.16,Louisiana,Baton Rouge,4138 East Brookstown Drive,1,0,Adult
12.10.16,South Carolina,Myrtle Beach,Spivey Drive and King Avenue,1,0,Adult
11.10.16,Georgia,Acworth,4800 block of Ryan Road,1,0,Adult
09.10.16,South Carolina,Aynor,Garner Road,1,0,Adult
09.10.16,South Dakota,Sioux Falls,North 1st Avenue,1,0,Adult
07.10.16,Texas,Houston,Long Point Road and Oak Tree Drive,1,0,Adult
07.10.16,Georgia,Richmond (county),Done Roven Road,1,0,Adult
05.10.16,Missouri,Lees Summit,800 block of Northeast Magellan Ave,1,0,Adult
04.10.16,Virginia,Virginia Beach,1100 block of Mondrian Loop,1,0,Adult
03.10.16,North Dakota,Sanborn,N/A,1,0,Adult
02.10.16,Michigan,Iron River,N/A,1,0,Adult
01.10.16,Georgia,Mcdonough,961 King Mill Road,1,0,Adult
30.09.16,Pennsylvania,York,200 block of Chestnut Street,1,0,Adult
30.09.16,Georgia,Atlanta,Roswell Street  SW,1,0,Adult
30.09.16,Wisconsin,Milwaukee,2100 block of North 15th Street,1,0,Adult
29.09.16,Texas,Fort Worth,3712 North Elm Street,1,0,Adult
29.09.16,Pennsylvania,Altoona,1600 block on 2nd Avenue,1,0,Adult
28.09.16,Arizona,Avondale,525 E Harrison Dr,1,0,Adult
28.09.16,Kentucky,Danville,Tuggle Road,1,0,Adult
27.09.16,Iowa,Cedar Rapids,800 block of 15th Street SE,1,0,Adult
26.09.16,California,El Dorado (county),10500 block of Wentworth Springs Road,1,0,Adult
26.09.16,Louisiana,Monroe,McCall Street,1,0,Adult
25.09.16,Georgia,Atlanta,1073 Piedmont Ave,1,0,Adult
24.09.16,Texas,Houston,4439 Pease Street,1,0,Adult
22.09.16,Maryland,Bladensburg,4200 block of 58th Avenue,1,0,Adult
19.09.16,Arkansas,Buckner,1100 block of Lafayette County Road 41,1,0,Adult
18.09.16,Florida,Palm Beach Gardens (Riviera Beach),1200 block of West 32nd Street,1,0,Adult
18.09.16,Florida,Tampa,6727 S. Lois Ave.,1,0,Adult
18.09.16,Iowa,Lake View,Highways 175 and 71,1,0,Adult
17.09.16,Alaska,Juneau,3000 block of Mountainwood Circle,1,0,Adult
17.09.16,North Carolina,Edenton,725 Martin Luther King Jr Avenue,1,0,Adult
14.09.16,Texas,Bexar (county),N/A,1,0,Adult
13.09.16,Texas,Azle,400 block of Rider Lane,1,0,Adult
12.09.16,Pennsylvania,Quakertown,2100 block of Kumry Road,1,0,Adult
12.09.16,Michigan,Missaukee (county),Blue Road and South Jeffs Road,1,0,Adult
11.09.16,Louisiana,Baton Rouge,Avenue B,1,0,Adult
11.09.16,Kentucky,Louisville,1600 block of Brashear Drive,1,0,Adult
08.09.16,California,Rosamond,2600 block of 25th Street West,1,0,Adult
05.09.16,Texas,Rockdale,900 block of CR 319,1,0,Adult
05.09.16,Texas,San Benito,200 block of Los Ranchitos,1,0,Adult
05.09.16,Michigan,Kalamazoo,1500 block of Clinton Avenue,2,0,Adult
02.09.16,Florida,Cocoa Beach,150 Minutemen Causeway,1,0,Adult
01.09.16,Nevada,Las Vegas,947 West Lake Mead Boulevard,1,0,Adult
01.09.16,South Carolina,Columbia,228 Meredith Square,1,2,Adult
31.08.16,Georgia,Statesboro,1000 block of Planters Lane,1,0,Adult
30.08.16,Wisconsin,Chetek,Leonard Street,1,0,Adult
28.08.16,Kentucky,Louisville,3015 Penway Ave,1,0,Adult
28.08.16,Texas,Ivanhoe,N/A,1,0,Adult
27.08.16,Texas,San Benito,500 block of Doherty Street,1,0,Adult
25.08.16,Colorado,Aurora,E. Ohio Place and S. Buckley Road,1,0,Adult
25.08.16,Tennessee,Parrottsville,Shenandoah Way,1,0,Adult
25.08.16,South Carolina,Conway,Gilbert Road,1,0,Adult
19.08.16,Texas,La Porte,9700 block of Wilmont Road.,1,0,Adult
18.08.16,Montana,Belgrade,1005 Cardinal Dr,1,0,Adult
15.08.16,Mississippi,Byhalia,95 Rebecca Drive,1,0,Adult
15.08.16,Florida,Naples,1900 Tamiami Trail N,1,0,Adult
14.08.16,Iowa,Garner,2194 Sioux Ave,1,0,Adult
13.08.16,Virginia,Danville,800 block of Edmonds Street,1,0,Adult
12.08.16,Pennsylvania,Mountville,17 West Main Street,1,0,Adult
12.08.16,Virginia,Hampton,1800 block of Walkers Landing Lane,1,0,Adult
11.08.16,Arizona,Phoenix,5102 W McDowell Rd,1,0,Adult
11.08.16,Washington,Mount Vernon,315 E College Way,1,0,Adult
10.08.16,Minnesota,Rochester,2nd Street and 14th Avenue SW,1,0,Adult
09.08.16,Florida,Punta Gorda,1410 Tamiami Trail,1,0,Adult
09.08.16,Pennsylvania,Philadelphia,540 N Percy St,1,0,Adult
08.08.16,Tennessee,Hendersonville,118 Shady View Drive,1,0,Adult
08.08.16,Pennsylvania,Philadelphia,2800 block of South 7th Street,1,0,Adult
06.08.16,Indiana,Hammond,4700 block of Hohman Avenue,1,0,Adult
06.08.16,Texas,Katy,6200 block of Towngate Circle,1,0,Adult
06.08.16,North Carolina,Shelby,105 Lindsey Lee Ln,1,0,Adult
06.08.16,Idaho,Weiser,Macomb Road,1,0,Adult
05.08.16,Texas,Greenville,7701 Wesley Street,1,0,Adult
05.08.16,Illinois,Chicago,2700 block of West Evergreen Avenue,1,0,Adult
02.08.16,South Carolina,Coward,4312 Circle Drive,1,1,Adult
02.08.16,Ohio,Columbus,400 block of East Markison Avenue,1,0,Adult
02.08.16,Louisiana,Marrero,2000 block of Fernando Court,1,0,Adult
01.08.16,Oklahoma,Ardmore,1200 block of L Street,1,0,Adult
01.08.16,Pennsylvania,Allentown,1500 block of Arlington Avenue,1,0,Adult
31.07.16,Alabama,Birmingham (Homewood),1301 Lakeshore Dr.,1,0,Adult
31.07.16,Virginia,Saltville,400 block of Elizabeth Street,1,0,Adult
30.07.16,New York,Elmira,200 block of West Hudson Street,1,0,Adult
30.07.16,Texas,Beaumont,7395 Highway 105,1,0,Adult
28.07.16,New Jersey,Pemberton Township,Bayberry Street,1,0,Adult
26.07.16,Texas,Houston,9700 block of Shady Tree Ln,1,0,Adult
26.07.16,Texas,San Antonio,3600 block of Callaghan Road,1,0,Adult
25.07.16,Arizona,Tempe,1000 E Orange Street,1,0,Adult
24.07.16,Kentucky,Frankfort,Pea Ridge Road,1,0,Adult
24.07.16,Arkansas,Gurdon,200 block of Cedar Street,1,0,Adult
22.07.16,Indiana,Huntingburg,202 N. Main St.,1,0,Adult
20.07.16,Georgia,Jones (county),113 Horseshoe Bend Court,1,0,Adult
19.07.16,Texas,Alvin,3400 block of Oxford,1,0,Adult
18.07.16,South Carolina,Gaston,2400 block of Glenn Road,1,0,Adult
17.07.16,Michigan,Rochester (Rochester Hills),1200 block of Lakeview Drive,1,0,Adult
17.07.16,Georgia,Carrollton,Adamson Avenue,1,0,Adult
16.07.16,Ohio,Cincinnati,6200 block of Chandler Street,1,0,Adult
15.07.16,Florida,Tallahassee,2684 Tess Circle,1,0,Adult
15.07.16,Texas,Houston,Sageland Drive,1,0,Adult
15.07.16,Florida,Lake Worth,7400 block of Michigan Isle Road,1,0,Adult
15.07.16,Florida,Tampa (Town N Country),8202 Pinehurst Circle,1,0,Adult
15.07.16,Florida,Port Orange,829 Hudson Lane,1,0,Adult
14.07.16,Alabama,Leighton,1500 block of Hwy 157,1,0,Adult
14.07.16,Colorado,Steamboat Springs,N/A,1,0,Adult
13.07.16,Nebraska,Omaha,36th and Grand,1,0,Adult
12.07.16,Pennsylvania,Berks (county),1st block of Chapel Lane,1,0,Adult
11.07.16,Texas,Marion (county),Monica Drive,1,0,Adult
09.07.16,Florida,Winter Haven,5463 Laurel Oak Drive,2,1,Adult
08.07.16,Michigan,Alma,Penrith Avenue,1,0,Adult
08.07.16,Texas,Mineral Wells,2600 block of S.W 8th Avenue,1,0,Adult
07.07.16,Montana,Helena,1200 block of Bozeman Street,1,0,Adult
06.07.16,Alabama,Toney,2500 block of Alabama 251,1,0,Adult
06.07.16,Wisconsin,Brown (county),N/A,1,0,Adult
03.07.16,Florida,Sarasota,4583 Bee Ridge Road,1,0,Adult
03.07.16,Tennessee,Chattanooga (East Ridge),201 Eads Street,1,0,Adult
03.07.16,Kentucky,Lowmansville,July Drive,1,0,Adult
02.07.16,California,Oakland,1400 block of Sunshine Court,1,1,Adult
02.07.16,California,Lemoore,800 block of Dogwood Avenue,1,0,Adult
01.07.16,Tennessee,Clarksville,874 Samantha Lane,1,0,Adult
30.06.16,Washington,Manson,SR 150,1,0,Adult
29.06.16,Pennsylvania,Philadelphia,5300 block of E Walnut Lane,1,0,Adult
29.06.16,Kentucky,Lewisport,1370 S Chestnut Grove Rd,1,0,Adult
28.06.16,Wisconsin,Milwaukee,28th Street and Capitol Drive,1,0,Adult
28.06.16,Michigan,Roseville,25800 Gratiot Avenue,1,0,Adult
28.06.16,Texas,San Antonio,8600 block of Star Creek Drive,1,0,Adult
28.06.16,Massachusetts,Stoneham,Congress Street,1,0,Adult
27.06.16,Arizona,Phoenix,1600 block of West Missouri Avenue,1,0,Adult
25.06.16,New Jersey,East Orange,112 Norman Street,1,0,Adult
24.06.16,Oklahoma,Delaware (county),N/A,1,0,Adult
23.06.16,Pennsylvania,Philadelphia,1800 block of N 20th Street,1,0,Adult
22.06.16,Indiana,Indianapolis,3300 block of Wallace Avenue,1,0,Adult
22.06.16,Georgia,Adel,800 block of Guy Street,1,0,Adult
20.06.16,Colorado,Conejos (county),N/A,1,0,Adult
19.06.16,Texas,San Antonio,8800 block of  Village Drive.,1,1,Adult
18.06.16,Ohio,Amelia,3023 Lindale Mt. Holly Rd,1,0,Adult
17.06.16,Iowa,Elgin,210 Main Street,1,0,Adult
17.06.16,Pennsylvania,Pittsburgh,4290 Melwood Ave,1,0,Adult
13.06.16,West Virginia,Fairmont,Cleveland Avenue,1,0,Adult
12.06.16,New York,Corona (Queens),45th Avenue and National Street,1,0,Adult
11.06.16,Louisiana,Baton Rouge,3500 block of Wayne Avenue,1,0,Adult
11.06.16,Texas,Dallas,13700 block of Montfort Drive,1,0,Adult
08.06.16,Georgia,Calhoun,Dogwood Drive,1,0,Adult
07.06.16,Michigan,Detroit,5300 block of Radnor,1,0,Adult
06.06.16,Florida,Zellwood,2900 block of Winifred Road,1,0,Adult
06.06.16,Georgia,Hawkinsville,18 Franklin Street,1,0,Adult
06.06.16,Maryland,Annapolis,1300 block of Tyler Avenue,1,0,Adult
03.06.16,California,Riverside (county),29200 block of Garnet,1,0,Adult
03.06.16,Missouri,Saint Louis,9500 block of Page Ave,1,0,Adult
03.06.16,Colorado,Aurora,1575 Galena Street,1,0,Adult
03.06.16,Illinois,Chicago,3500 block of South Parnell Avenue,1,0,Adult
02.06.16,Georgia,Rome,1249 Bells Ferry Road,1,0,Adult
29.05.16,Arizona,Phoenix,N/A,1,0,Adult
27.05.16,Missouri,Joplin,1516 S. Byers Avenue,1,0,Adult
27.05.16,California,Oakland,1300 block of Fruitvale Avenue,1,0,Adult
26.05.16,Virginia,Roanoke,2000 block of Carroll Avenue NW,1,0,Adult
25.05.16,Washington,Seattle,6000 block of High Point Drive SW,1,0,Adult
24.05.16,Pennsylvania,Butler (county),Pine Tract Road,1,0,Adult
24.05.16,Indiana,Gary,1400 block of Virginia Street,1,0,Adult
22.05.16,Tennessee,Nashville,2700 block of Hydes Ferry Road,1,0,Adult
21.05.16,Louisiana,La Place (Laplace),19 Country Club Dr,1,0,Adult
20.05.16,Alabama,Horton,Welcome Home Church Road,1,0,Adult
20.05.16,Illinois,Barry,186 E 2700th St,1,0,Adult
19.05.16,New York,Bronx,810 Astor Avenue,1,0,Adult
16.05.16,Florida,Sarasota,2400 block of 47th Street,1,0,Adult
14.05.16,Florida,Alford,Compass Lake Drive,1,0,Adult
13.05.16,Missouri,Branson,500 block of College,1,0,Adult
12.05.16,Indiana,Lebanon,300 South 500 West,1,0,Adult
12.05.16,Ohio,Hilliard,5100 block of Scioto Darby Road,1,0,Adult
11.05.16,Montana,Lewis And Clark (county),Beaver Slide Loop,1,0,Adult
11.05.16,Louisiana,Leesville,N/A,1,0,Adult
10.05.16,Michigan,Detroit,19700 block of Oakfield Street,1,0,Adult
10.05.16,Louisiana,Shreveport,1100 block of Wilkinson Street,1,0,Adult
09.05.16,California,Bell Gardens (Cudahy),4300 Clara St,1,0,Adult
07.05.16,Iowa,Fayette (county),N/A,1,0,Adult
06.05.16,Arizona,Phoenix,11015 N. 11th Place,1,0,Adult
01.05.16,Indiana,Indianapolis,Gale and Vermont,1,0,Adult
30.04.16,Tennessee,Huntingdon,60 Hunter Ridge Cove,1,0,Adult
30.04.16,Oregon,Medford,208 Iowa St.,1,0,Adult
26.04.16,Georgia,Dallas,Camp Circle and Dallas Acworth Highway,1,0,Adult
26.04.16,Wisconsin,Milwaukee,U.S. 41/Highway 175,1,0,Adult
24.04.16,Kansas,Salina,1900 block of Dover,1,0,Adult
23.04.16,Iowa,Maynard,N/A,1,0,Adult
22.04.16,Louisiana,Natchitoches,600 block of Sabine Alley,1,0,Adult
22.04.16,Kansas,Wichita,1800 block of West McCormick,1,0,Adult
21.04.16,Missouri,Kansas City,2600 block of Lawn Avenue,1,0,Adult
20.04.16,Indiana,Indianapolis,5200 block of Alameda Road,1,0,Adult
20.04.16,North Carolina,Wilmington,300 block of Grass Lane,1,0,Adult
19.04.16,California,Sacramento,7800 block of Sunrise Greens Drive,1,0,Adult
17.04.16,Wisconsin,Rock (county),2100 block of Lima Center Road,1,0,Adult
16.04.16,Alaska,Sutton (Sutton-Alpine),Jonesville Mine Road,1,0,Adult
16.04.16,Pennsylvania,Philadelphia,200 block of E. Mayfield Street,1,0,Adult
15.04.16,Maryland,Temple Hills,5000 block of Sharon Road,1,2,Adult
14.04.16,Kentucky,Louisville,900 block of W. Evelyn Avenue,1,0,Adult
14.04.16,California,Victorville,13000 block of Bennington Drive,1,0,Adult
12.04.16,Missouri,Saint Louis,8500 block of Riverview,1,0,Adult
12.04.16,Texas,Waxahachie,200 block of Colt Drive,1,0,Adult
11.04.16,Wisconsin,Friendship,N/A,1,0,Adult
10.04.16,North Carolina,Granite Falls,Baton Church Road,1,0,Adult
09.04.16,Massachusetts,Beverly,Ropes Street,1,0,Adult
08.04.16,Alabama,Montgomery,200 block of Southlawn Drive,1,0,Adult
02.04.16,South Carolina,Rock Hill,800 block of Horseman Drive,1,0,Adult
31.03.16,North Carolina,La Grange,Mimosa Lane and Maple Grove Dr,1,0,Adult
30.03.16,Louisiana,New Orleans (Algiers),2100 block of Springbrook Lane,1,0,Adult
28.03.16,Georgia,Douglas,900 block of South Coffee Avenue,1,0,Adult
28.03.16,Alabama,Covington (county),County Road 21,1,0,Adult
27.03.16,Mississippi,Brookhaven,Highway 550,1,0,Adult
27.03.16,Vermont,Saint Albans,N/A,1,0,Adult
27.03.16,Illinois,Carbondale,402 West Walnut Street,1,1,Adult
25.03.16,Hawaii,Mountain View,Oshiro Road,1,0,Adult
24.03.16,Texas,San Antonio,100 block of West Ansley Boulevard,1,0,Adult
24.03.16,Texas,Ennis,200  block of Arnold Street,1,0,Adult
24.03.16,Missouri,Henley,6000 block of Upton Road,1,0,Adult
21.03.16,Kentucky,Sharpsburg,95 Bethel Ridge Road,1,0,Adult
20.03.16,Illinois,Chicago,4900 block of Aster Street,1,0,Adult
20.03.16,Florida,Fort Myers,17483 Old Harmony Road,1,0,Adult
20.03.16,Illinois,Chicago (Englewood),6700 block of S. Aberdeen St.,1,0,Adult
20.03.16,Pennsylvania,Mount Pleasant,151 South Church St,1,0,Adult
19.03.16,Florida,Apopka,1008 Sheeler Hills Drive,1,0,Adult
19.03.16,Texas,Palestine,300 block of Anderson County Road 1370,1,0,Adult
19.03.16,North Carolina,Fayetteville,400 block of Lands End Road,1,0,Adult
18.03.16,New York,Copiague,Great Neck Road,1,0,Adult
18.03.16,Iowa,Cedar Rapids,1424 Bever Ave. SE,1,0,Adult
17.03.16,South Carolina,Bennettsville,Spencer Street,1,0,Adult
17.03.16,Texas,San Antonio,4400 block of Hampstead Street,1,0,Adult
16.03.16,West Virginia,Beckley,Hager Street,1,0,Adult
15.03.16,Tennessee,Chattanooga,1206 Lewis Street,1,0,Adult
14.03.16,Texas,Bridgeport,County Road 3825,1,0,Adult
14.03.16,West Virginia,Beckley,Bethel Road,1,0,Adult
14.03.16,Missouri,Kansas City,North Flora and Northeast 80th Street,1,0,Adult
12.03.16,Texas,Paris,210 Stone Avenue,1,0,Adult
12.03.16,Iowa,Oskaloosa,1593 290th Street,1,0,Adult
11.03.16,Georgia,Norcross,4900 block of Appaloosa Trail,1,0,Adult
09.03.16,Kentucky,Somerset,1610 Oak Hill Rd,1,0,Adult
07.03.16,West Virginia,Morgantown,Church Hill Drive,1,0,Adult
06.03.16,Mississippi,Laurel,County Road 237,1,0,Adult
06.03.16,California,Studio City,3700 block of Eureka Drive,1,0,Adult
05.03.16,South Dakota,Yankton,East Side Drive,1,0,Adult
04.03.16,South Carolina,Rock Hill,600 block of Cauthen Street,1,1,Adult
02.03.16,Hawaii,Makawao,80-90 block of Healani Street,1,0,Adult
01.03.16,Texas,Corpus Christi,6300 block of Hanley Drive,1,0,Adult
01.03.16,Florida,Sanford,Highlawn Avenue,1,0,Adult
29.02.16,Tennessee,Apison,4724 Gates Lane,1,0,Adult
28.02.16,Washington,Concrete,46000 block of Baker Loop Road,1,0,Adult
28.02.16,Texas,San Antonio,9500 block of Perrin-Beitel Road,1,0,Adult
27.02.16,Louisiana,Baton Rouge,7584 Prescott Drive,1,0,Adult
27.02.16,Florida,Miami Gardens,2200 block of Northwest 172nd Terrace,1,0,Adult
26.02.16,Indiana,Sunman,Van Wedding Road,1,0,Adult
26.02.16,Iowa,Evansdale (Elk Run Heights),N/A,1,0,Adult
26.02.16,South Carolina,Clearwater,244 Park Drive,1,0,Adult
23.02.16,Texas,Houston,1300 block of Regal Street,1,0,Adult
23.02.16,Utah,Altamont,14535 W 4000 N,1,0,Adult
22.02.16,Tennessee,Greeneville,400 Y St,1,0,Adult
21.02.16,Florida,Fort Lauderdale,2300 block of Northwest Ninth Court,1,0,Adult
21.02.16,Indiana,Hartsville,200 block of Clinton Street,1,0,Adult
21.02.16,Florida,Fountain,11601 Nonawood Road,1,0,Adult
21.02.16,Mississippi,Philadelphia,Highway 16 West Pearl River Resort - Choctaw,1,0,Adult
20.02.16,Utah,Box Elder (county),Route 30,1,0,Adult
20.02.16,Ohio,Cleveland,N/A,1,0,Adult
19.02.16,Louisiana,Baton Rouge,2138 Tennessee Street,1,0,Adult
18.02.16,Louisiana,Baton Rouge,3811 Bradley Street,1,0,Adult
17.02.16,Illinois,Chicago,7800 block of South Honore,1,0,Adult
16.02.16,Texas,Lubbock,2538 71st St,1,0,Adult
15.02.16,Michigan,Columbiaville,Peters Road and Flint River Road,1,0,Adult
15.02.16,Vermont,Cuttingsville (Shrewsbury),6718 Cold River Road,1,0,Adult
15.02.16,Michigan,Columbiaville,Peters and Flint River roads,1,0,Adult
14.02.16,Michigan,Battle Creek,23 Highway Street,1,0,Adult
13.02.16,Nevada,Las Vegas,Buffalo and Vegas Drive,1,0,Adult
13.02.16,Wisconsin,Milwaukee,3000 block of West Wisconsin Avenue,1,0,Adult
13.02.16,Ohio,Cincinnati,3262 Tulsa Court,1,0,Adult
11.02.16,Maryland,Capitol Heights (Seat Pleasant),6700 block of James Farmer Way,1,0,Adult
11.02.16,Georgia,Lawrenceville,1600 block of Balvaird Drive,1,0,Adult
11.02.16,New York,Brooklyn,703 Miller Avenue,1,0,Adult
08.02.16,Florida,Orlando,4700 block of Spottswood Drive,1,0,Adult
06.02.16,Florida,Jacksonville,1100 block of East 15th Street,1,0,Adult
06.02.16,Texas,El Indio,N/A,1,0,Adult
06.02.16,Alabama,Birmingham (Irondale),2000 block of Monroe Drive,1,0,Adult
06.02.16,Georgia,Madison,1580 Aqua Road,1,1,Adult
06.02.16,Tennessee,Nashville,4271 Sidco Drive,1,0,Adult
05.02.16,Louisiana,Addis,3600 block of East Nic Drive,1,0,Adult
05.02.16,Arizona,Tucson,3000 block of South La Cholla,1,0,Adult
04.02.16,Iowa,Burlington,300-block of Angular Street,1,0,Adult
03.02.16,Ohio,Cleveland (Brooklyn),Ridge Road,1,0,Adult
31.01.16,Alaska,Fairbanks,Geraghty Avenue,1,0,Adult
30.01.16,Nevada,Las Vegas,3867 Terrazzo Avenue,1,0,Adult
30.01.16,Oklahoma,Hartshorne,Lakeview Drive,1,0,Adult
30.01.16,Maryland,Baltimore,400 block of N. Athol Avenue,1,0,Adult
30.01.16,Georgia,Atlanta,Meadowglen Village Lane,1,0,Adult
29.01.16,Alabama,Hartselle,N/A,1,0,Adult
25.01.16,Texas,Baytown,4100 block of Tumbleweed,2,0,Adult
25.01.16,Tennessee,Crossville,2009 N Main St,1,0,Adult
25.01.16,Kentucky,White Plains,Farmers Crossing Road,1,0,Adult
24.01.16,Missouri,Kennett,800 block of Emerson Street,1,0,Adult
23.01.16,New York,Brooklyn,45th Street,1,0,Adult
23.01.16,Alaska,Iliamna (Kokhanok),N/A,1,0,Adult
22.01.16,Florida,Delray Beach (West Delray Beach),8000 block of Sawpine Drive,1,0,Adult
22.01.16,Arkansas,Little Rock,211 Dortch Loop,1,0,Adult
22.01.16,Virginia,Williamsburg,1300 block of Richmond Road,1,0,Adult
22.01.16,Arkansas,North Little Rock,200 block of Dortch Loop,1,0,Adult
20.01.16,Michigan,Flint,1300 block of Columbia Lane,1,0,Adult
20.01.16,Florida,Volusia (county),Maytown Road,1,0,Adult
20.01.16,Indiana,Charlestown,Sycamore Drive and Cottonwood Lane,1,0,Adult
20.01.16,Louisiana,New Orleans,5600 block of Red Maple Drive,1,0,Adult
19.01.16,Texas,Liberty (county),County Road 4893,1,0,Adult
19.01.16,Texas,Cypress,15400 block of Redbud Berry Way,1,0,Adult
18.01.16,Washington,Spokane (Spokane Valley),14121 E. Sinto,1,0,Adult
17.01.16,Missouri,Saint Louis (St Louis),5300 block of Patton Ave,1,0,Adult
17.01.16,Kentucky,Louisville,43rd Street and Broadway,1,0,Adult
16.01.16,Louisiana,Baton Rouge,1915 Birch Street,1,0,Adult
16.01.16,Texas,Houston,5203 Dumfries Drive,1,0,Adult
15.01.16,Louisiana,Pineville,810 Main Street,1,0,Adult
14.01.16,Maine,Windham,Brookhaven Drive,1,0,Adult
14.01.16,Pennsylvania,Hummelstown,200 block of West Main Street,1,0,Adult
12.01.16,Ohio,Cincinnati,1200 block of Blanchard Avenue,1,0,Adult
12.01.16,Ohio,Jackson,775 Spangenburg Road,1,0,Adult
12.01.16,South Carolina,Lancaster,1800 block of John Everall Road,1,0,Adult
11.01.16,Michigan,Suttons Bay,First Street,1,0,Adult
11.01.16,Pennsylvania,Duncannon,11D Rebecca Drive,1,1,Adult
10.01.16,North Carolina,Lumberton,2200 block of Martin Luther King Jr. Drive,1,0,Adult
09.01.16,Kentucky,Louisville,400 block of N. 34th Street,1,0,Adult
09.01.16,Alabama,Auburn,400 block of Webster Road,1,0,Adult
09.01.16,Indiana,North Liberty,67100 block of Sage Road,1,0,Adult
09.01.16,Alabama,Mobile,2100 block of Agate Avenue,1,0,Adult
09.01.16,North Carolina,Leland,500 block of Creekview Lane,1,0,Adult
