Incident Date,State,City Or County,Address,Full Address,Lat,Lng,Killed,Injured,AgeGroup
101116,California,Burbank,2500 North Hollywood Way,California Burbank 2500 North Hollywood Way,34.1941643,-118.3477503,1,0,Adult
101116,Oregon,Salem,N/A,Oregon Salem N/A,44.9428975,-123.0350963,1,0,Adult
81116,Virginia,Hampton,500 block of Pennsylvania Ave,Virginia Hampton 500 block of Pennsylvania Ave,37.0029579,-76.3873092,1,0,Adult
81116,Michigan,Muskegon (county),Johnston Street,Michigan Muskegon (county) Johnston Street,43.3686896,-86.1810919,1,0,Adult
71116,Pennsylvania,New Kensington (Arnold),1417 Orchard Ave,Pennsylvania New Kensington (Arnold) 1417 Orchard Ave,40.5748698,-79.759529,1,0,Adult
71116,Minnesota,Little Falls (Belle Prairie Township),Hawthorne and Jewel Road,Minnesota Little Falls (Belle Prairie Township) Hawthorne and Jewel Road,46.0635539,-94.2079906,1,0,Adult
71116,Florida,Pinellas Park,5000 block of 75th Avenue,Florida Pinellas Park 5000 block of 75th Avenue,27.8403792,-82.7440204,1,0,Adult
71116,California,Lancaster,1700 block of East Avenue J,California Lancaster 1700 block of East Avenue J,34.689526,-118.0992201,1,0,Adult
71116,North Carolina,Statesville,100 block of Treeline Drive,North Carolina Statesville 100 block of Treeline Drive,35.7474847,-80.8018958,1,0,Adult
71116,Minnesota,Cloquet,N/A,Minnesota Cloquet N/A,46.7217735,-92.4611825,1,0,Adult
61116,New York,Elma,Dorris Drive,New York Elma Dorris Drive,42.8293385,-78.6294613,1,0,Adult
61116,Georgia,Atlanta,1800 block of Charleston Avenue,Georgia Atlanta 1800 block of Charleston Avenue,33.7050691,-84.3755973,1,0,Adult
51116,North Dakota,Dickinson,1700 block of Abraham Parkway,North Dakota Dickinson 1700 block of Abraham Parkway,46.8825906,-102.7584328,1,0,Adult
41116,Kansas,Kansas City,7569 State Avenue,Kansas Kansas City 7569 State Avenue,39.1159134,-94.7556587,1,0,Adult
41116,Tennessee,Knoxville,6500 block of Archer Road,Tennessee Knoxville 6500 block of Archer Road,36.0796316,-83.8826265,1,0,Adult
41116,Missouri,Joplin,4300 block of Connecticut Avenue,Missouri Joplin 4300 block of Connecticut Avenue,37.0416362,-94.5008022,1,0,Adult
31116,Alabama,Eutaw,Wilson Street,Alabama Eutaw Wilson Street,32.840196,-87.8901909,1,0,Adult
311016,California,Fresno,Clinton and Winery Avenues,California Fresno Clinton and Winery Avenues,36.77216,-119.7317553,1,0,Adult
301016,Pennsylvania,Norristown,600 block of George Street,Pennsylvania Norristown 600 block of George Street,40.1209496,-75.3494023,1,0,Adult
291016,Indiana,Indianapolis,6600 block of Little Leaf Place,Indiana Indianapolis 6600 block of Little Leaf Place,39.7053911,-86.0521296,1,0,Adult
291016,Ohio,Toledo,123 Rockingham Street,Ohio Toledo 123 Rockingham Street,41.6747414,-83.548179,1,0,Adult
291016,Ohio,Portsmouth,603 Adams St,Ohio Portsmouth 603 Adams St,38.7346076,-82.9791577,1,0,Adult
291016,Alabama,Muscle Shoals,305 W Edison Ave,Alabama Muscle Shoals 305 W Edison Ave,34.7553866,-87.6705576,1,0,Adult
271016,Michigan,Battle Creek,1st block of West Fountain Street,Michigan Battle Creek 1st block of West Fountain Street,42.315034,-85.196135,1,0,Adult
271016,Missouri,Kansas City,18th and Topping,Missouri Kansas City 18th and Topping,39.174378,-94.5110548,1,0,Adult
241016,South Carolina,Harleyville,Cricket Drive,South Carolina Harleyville Cricket Drive,33.1905892,-80.4723382,1,0,Adult
221016,Louisiana,Larose,East Avenue C,Louisiana Larose East Avenue C,29.5763996,-90.3803492,1,0,Adult
221016,Georgia,Toombs (county),998 Johnson Corner Road,Georgia Toombs (county) 998 Johnson Corner Road,32.1272028,-82.3060954,1,0,Adult
211016,Connecticut,Bristol,240 Woodland Street,Connecticut Bristol 240 Woodland Street,41.6807532,-72.9411346,1,0,Adult
201016,California,Stockton,8926 Ledgewood Avenue,California Stockton 8926 Ledgewood Avenue,38.0312731,-121.2860837,1,0,Adult
181016,Mississippi,Pittsboro,County Road 300,Mississippi Pittsboro County Road 300,33.9376407,-89.3460626,1,0,Adult
171016,Oregon,Albany,2530 SE Pacific Boulevard,Oregon Albany 2530 SE Pacific Boulevard,44.6365807,-123.0748756,1,0,Adult
161016,Washington,Yacolt,34900 block of NE Thompson Road,Washington Yacolt 34900 block of NE Thompson Road,45.8744807,-122.3928942,1,0,Adult
161016,North Dakota,Bismarck,106th St SE,North Dakota Bismarck 106th St SE,46.679127,-100.62876,1,0,Adult
151016,Missouri,Forsyth,665 Skyline Drive,Missouri Forsyth 665 Skyline Drive,36.694064,-93.091782,1,0,Adult
151016,Missouri,Caulfield,2810 Cloud 9 Drive,Missouri Caulfield 2810 Cloud 9 Drive,36.655406,-92.143331,1,0,Adult
151016,Virginia,Sandston,Treva Road,Virginia Sandston Treva Road,37.5125186,-77.3043348,1,0,Adult
131016,Illinois,Waukegan,1100 block of Greenfield Avenue,Illinois Waukegan 1100 block of Greenfield Avenue,42.3394806,-87.847294,1,0,Adult
131016,Louisiana,Baton Rouge,4138 East Brookstown Drive,Louisiana Baton Rouge 4138 East Brookstown Drive,30.4881804,-91.127995,1,0,Adult
121016,South Carolina,Myrtle Beach,Spivey Drive and King Avenue,South Carolina Myrtle Beach Spivey Drive and King Avenue,33.66781,-78.938752,1,0,Adult
111016,Georgia,Acworth,4800 block of Ryan Road,Georgia Acworth 4800 block of Ryan Road,34.1314021,-84.6938864,1,0,Adult
91016,South Carolina,Aynor,Garner Road,South Carolina Aynor Garner Road,33.9669673,-79.1145708,1,0,Adult
91016,South Dakota,Sioux Falls,North 1st Avenue,South Dakota Sioux Falls North 1st Avenue,43.5804325,-96.7246341,1,0,Adult
71016,Texas,Houston,Long Point Road and Oak Tree Drive,Texas Houston Long Point Road and Oak Tree Drive,29.7970546,-95.5266507,1,0,Adult
71016,Georgia,Richmond (county),Done Roven Road,Georgia Richmond (county) Done Roven Road,33.2699606,-81.9061576,1,0,Adult
51016,Missouri,Lees Summit,800 block of Northeast Magellan Ave,Missouri Lees Summit 800 block of Northeast Magellan Ave,38.92616,-94.3620773,1,0,Adult
41016,Virginia,Virginia Beach,1100 block of Mondrian Loop,Virginia Virginia Beach 1100 block of Mondrian Loop,36.7986385,-76.0801368,1,0,Adult
31016,North Dakota,Sanborn,N/A,North Dakota Sanborn N/A,46.9422066,-98.2242589,1,0,Adult
21016,Michigan,Iron River,N/A,Michigan Iron River N/A,46.0927322,-88.6423544,1,0,Adult
11016,Georgia,Mcdonough,961 King Mill Road,Georgia Mcdonough 961 King Mill Road,33.4069412,-84.1078655,1,0,Adult
300916,Pennsylvania,York,200 block of Chestnut Street,Pennsylvania York 200 block of Chestnut Street,39.9667448,-76.725438,1,0,Adult
300916,Georgia,Atlanta,Roswell Street SW,Georgia Atlanta Roswell Street SW,33.6921996,-84.5190287,1,0,Adult
300916,Wisconsin,Milwaukee,2100 block of North 15th Street,Wisconsin Milwaukee 2100 block of North 15th Street,43.057942,-87.9314579,1,0,Adult
290916,Texas,Fort Worth,3712 North Elm Street,Texas Fort Worth 3712 North Elm Street,32.8113503,-97.3435127,1,0,Adult
290916,Pennsylvania,Altoona,1600 block on 2nd Avenue,Pennsylvania Altoona 1600 block on 2nd Avenue,40.520209,-78.3842523,1,0,Adult
280916,Arizona,Avondale,525 E Harrison Dr,Arizona Avondale 525 E Harrison Dr,33.427779,-112.341964,1,0,Adult
280916,Kentucky,Danville,Tuggle Road,Kentucky Danville Tuggle Road,37.6453467,-84.8939466,1,0,Adult
270916,Iowa,Cedar Rapids,800 block of 15th Street SE,Iowa Cedar Rapids 800 block of 15th Street SE,41.979393,-91.6502068,1,0,Adult
260916,California,El Dorado (county),10500 block of Wentworth Springs Road,California El Dorado (county) 10500 block of Wentworth Springs Road,38.912493,-120.682046,1,0,Adult
260916,Louisiana,Monroe,McCall Street,Louisiana Monroe McCall Street,32.4443773,-92.0973992,1,0,Adult
250916,Georgia,Atlanta,1073 Piedmont Ave,Georgia Atlanta 1073 Piedmont Ave,33.7839492,-84.3785932,1,0,Adult
240916,Texas,Houston,4439 Pease Street,Texas Houston 4439 Pease Street,29.7350734,-95.3345007,1,0,Adult
220916,Maryland,Bladensburg,4200 block of 58th Avenue,Maryland Bladensburg 4200 block of 58th Avenue,38.9429899,-76.9150643,1,0,Adult
190916,Arkansas,Buckner,1100 block of Lafayette County Road 41,Arkansas Buckner 1100 block of Lafayette County Road 41,33.3922453,-93.4628117,1,0,Adult
180916,Florida,Palm Beach Gardens (Riviera Beach),1200 block of West 32nd Street,Florida Palm Beach Gardens (Riviera Beach) 1200 block of West 32nd Street,26.788655,-80.0725269,1,0,Adult
180916,Florida,Tampa,6727 S. Lois Ave.,Florida Tampa 6727 S. Lois Ave.,27.8711152,-82.5161054,1,0,Adult
180916,Iowa,Lake View,Highways 175 and 71,Iowa Lake View Highways 175 and 71,42.3113488,-95.0533303,1,0,Adult
170916,Alaska,Juneau,3000 block of Mountainwood Circle,Alaska Juneau 3000 block of Mountainwood Circle,58.3799688,-134.587129,1,0,Adult
170916,North Carolina,Edenton,725 Martin Luther King Jr Avenue,North Carolina Edenton 725 Martin Luther King Jr Avenue,36.0662168,-76.6239204,1,0,Adult
140916,Texas,Bexar (county),N/A,Texas Bexar (county) N/A,29.4200763,-98.5721016,1,0,Adult
130916,Texas,Azle,400 block of Rider Lane,Texas Azle 400 block of Rider Lane,32.8745378,-97.6171514,1,0,Adult
120916,Pennsylvania,Quakertown,2100 block of Kumry Road,Pennsylvania Quakertown 2100 block of Kumry Road,40.4147226,-75.3984332,1,0,Adult
120916,Michigan,Missaukee (county),Blue Road and South Jeffs Road,Michigan Missaukee (county) Blue Road and South Jeffs Road,44.2645519,-84.8868339,1,0,Adult
110916,Louisiana,Baton Rouge,Avenue B,Louisiana Baton Rouge Avenue B,30.5363403,-91.1914424,1,0,Adult
110916,Kentucky,Louisville,1600 block of Brashear Drive,Kentucky Louisville 1600 block of Brashear Drive,38.2260129,-85.7755169,1,0,Adult
80916,California,Rosamond,2600 block of 25th Street West,California Rosamond 2600 block of 25th Street West,34.8651822,-118.1759618,1,0,Adult
50916,Texas,Rockdale,900 block of CR 319,Texas Rockdale 900 block of CR 319,30.6554759,-97.0013744,1,0,Adult
50916,Texas,San Benito,200 block of Los Ranchitos,Texas San Benito 200 block of Los Ranchitos,26.0336092,-97.6381941,1,0,Adult
50916,Michigan,Kalamazoo,1500 block of Clinton Avenue,Michigan Kalamazoo 1500 block of Clinton Avenue,42.275455,-85.565361,2,0,Adult
20916,Florida,Cocoa Beach,150 Minutemen Causeway,Florida Cocoa Beach 150 Minutemen Causeway,28.3182119,-80.6095782,1,0,Adult
10916,Nevada,Las Vegas,947 West Lake Mead Boulevard,Nevada Las Vegas 947 West Lake Mead Boulevard,36.1955984,-115.1554879,1,0,Adult
10916,South Carolina,Columbia,228 Meredith Square,South Carolina Columbia 228 Meredith Square,34.0593371,-80.9402908,1,2,Adult
310816,Georgia,Statesboro,1000 block of Planters Lane,Georgia Statesboro 1000 block of Planters Lane,32.3863209,-81.7610383,1,0,Adult
300816,Wisconsin,Chetek,Leonard Street,Wisconsin Chetek Leonard Street,45.3207847,-91.6563193,1,0,Adult
280816,Kentucky,Louisville,3015 Penway Ave,Kentucky Louisville 3015 Penway Ave,38.2234897,-85.8072798,1,0,Adult
280816,Texas,Ivanhoe,N/A,Texas Ivanhoe N/A,33.7134955,-96.1431799,1,0,Adult
270816,Texas,San Benito,500 block of Doherty Street,Texas San Benito 500 block of Doherty Street,26.1418425,-97.6357426,1,0,Adult
250816,Colorado,Aurora,E. Ohio Place and S. Buckley Road,Colorado Aurora E. Ohio Place and S. Buckley Road,39.7031807,-104.7910104,1,0,Adult
250816,Tennessee,Parrottsville,Shenandoah Way,Tennessee Parrottsville Shenandoah Way,36.0299089,-83.0891762,1,0,Adult
250816,South Carolina,Conway,Gilbert Road,South Carolina Conway Gilbert Road,33.7318535,-79.126559,1,0,Adult
190816,Texas,La Porte,9700 block of Wilmont Road.,Texas La Porte 9700 block of Wilmont Road.,29.6562122,-95.0802606,1,0,Adult
180816,Montana,Belgrade,1005 Cardinal Dr,Montana Belgrade 1005 Cardinal Dr,45.7940701,-111.1833774,1,0,Adult
150816,Mississippi,Byhalia,95 Rebecca Drive,Mississippi Byhalia 95 Rebecca Drive,34.7309709,-89.680503,1,0,Adult
150816,Florida,Naples,1900 Tamiami Trail N,Florida Naples 1900 Tamiami Trail N,26.1699476,-81.7970771,1,0,Adult
140816,Iowa,Garner,2194 Sioux Ave,Iowa Garner 2194 Sioux Ave,43.0831361,-93.6065541,1,0,Adult
130816,Virginia,Danville,800 block of Edmonds Street,Virginia Danville 800 block of Edmonds Street,36.5601823,-79.4152177,1,0,Adult
120816,Pennsylvania,Mountville,17 West Main Street,Pennsylvania Mountville 17 West Main Street,40.0392972,-76.4317912,1,0,Adult
120816,Virginia,Hampton,1800 block of Walkers Landing Lane,Virginia Hampton 1800 block of Walkers Landing Lane,37.0643,-76.346755,1,0,Adult
110816,Arizona,Phoenix,5102 W McDowell Rd,Arizona Phoenix 5102 W McDowell Rd,33.4664151,-112.1697079,1,0,Adult
110816,Washington,Mount Vernon,315 E College Way,Washington Mount Vernon 315 E College Way,48.4370202,-122.3371809,1,0,Adult
100816,Minnesota,Rochester,2nd Street and 14th Avenue SW,Minnesota Rochester 2nd Street and 14th Avenue SW,44.0216331,-92.4840246,1,0,Adult
90816,Florida,Punta Gorda,1410 Tamiami Trail,Florida Punta Gorda 1410 Tamiami Trail,26.9256821,-82.0465878,1,0,Adult
90816,Pennsylvania,Philadelphia,540 N Percy St,Pennsylvania Philadelphia 540 N Percy St,39.9621821,-75.1537856,1,0,Adult
80816,Tennessee,Hendersonville,118 Shady View Drive,Tennessee Hendersonville 118 Shady View Drive,36.3259345,-86.6312658,1,0,Adult
80816,Pennsylvania,Philadelphia,2800 block of South 7th Street,Pennsylvania Philadelphia 2800 block of South 7th Street,39.9140016,-75.1601233,1,0,Adult
60816,Indiana,Hammond,4700 block of Hohman Avenue,Indiana Hammond 4700 block of Hohman Avenue,41.6284423,-87.5172932,1,0,Adult
60816,Texas,Katy,6200 block of Towngate Circle,Texas Katy 6200 block of Towngate Circle,29.7857853,-95.8243956,1,0,Adult
60816,North Carolina,Shelby,105 Lindsey Lee Ln,North Carolina Shelby 105 Lindsey Lee Ln,35.267722,-81.650366,1,0,Adult
60816,Idaho,Weiser,Macomb Road,Idaho Weiser Macomb Road,44.1990409,-116.9224135,1,0,Adult
50816,Texas,Greenville,7701 Wesley Street,Texas Greenville 7701 Wesley Street,33.0932944,-96.1098976,1,0,Adult
50816,Illinois,Chicago,2700 block of West Evergreen Avenue,Illinois Chicago 2700 block of West Evergreen Avenue,41.9056744,-87.6944752,1,0,Adult
20816,South Carolina,Coward,4312 Circle Drive,South Carolina Coward 4312 Circle Drive,33.963731,-79.7336561,1,1,Adult
20816,Ohio,Columbus,400 block of East Markison Avenue,Ohio Columbus 400 block of East Markison Avenue,39.9309135,-82.9846191,1,0,Adult
20816,Louisiana,Marrero,2000 block of Fernando Court,Louisiana Marrero 2000 block of Fernando Court,29.8776321,-90.1253487,1,0,Adult
10816,Oklahoma,Ardmore,1200 block of L Street,Oklahoma Ardmore 1200 block of L Street,34.1791614,-97.1133718,1,0,Adult
10816,Pennsylvania,Allentown,1500 block of Arlington Avenue,Pennsylvania Allentown 1500 block of Arlington Avenue,40.4192328,-79.9892808,1,0,Adult
310716,Alabama,Birmingham (Homewood),1301 Lakeshore Dr.,Alabama Birmingham (Homewood) 1301 Lakeshore Dr.,33.4629737,-86.7901062,1,0,Adult
310716,Virginia,Saltville,400 block of Elizabeth Street,Virginia Saltville 400 block of Elizabeth Street,36.890467,-81.7560699,1,0,Adult
300716,New York,Elmira,200 block of West Hudson Street,New York Elmira 200 block of West Hudson Street,42.0834867,-76.8053314,1,0,Adult
300716,Texas,Beaumont,7395 Highway 105,Texas Beaumont 7395 Highway 105,30.1327403,-94.1899989,1,0,Adult
280716,New Jersey,Pemberton Township,Bayberry Street,New Jersey Pemberton Township Bayberry Street,39.985676,-74.56507,1,0,Adult
260716,Texas,Houston,9700 block of Shady Tree Ln,Texas Houston 9700 block of Shady Tree Ln,29.9217536,-95.5034368,1,0,Adult
260716,Texas,San Antonio,3600 block of Callaghan Road,Texas San Antonio 3600 block of Callaghan Road,29.4563435,-98.602534,1,0,Adult
250716,Arizona,Tempe,1000 E Orange Street,Arizona Tempe 1000 E Orange Street,33.4190671,-111.9291141,1,0,Adult
240716,Kentucky,Frankfort,Pea Ridge Road,Kentucky Frankfort Pea Ridge Road,38.1905579,-84.917855,1,0,Adult
240716,Arkansas,Gurdon,200 block of Cedar Street,Arkansas Gurdon 200 block of Cedar Street,33.9057282,-93.1504558,1,0,Adult
220716,Indiana,Huntingburg,202 N. Main St.,Indiana Huntingburg 202 N. Main St.,38.2930004,-86.9557399,1,0,Adult
200716,Georgia,Jones (county),113 Horseshoe Bend Court,Georgia Jones (county) 113 Horseshoe Bend Court,32.9271537,-83.6714317,1,0,Adult
190716,Texas,Alvin,3400 block of Oxford,Texas Alvin 3400 block of Oxford,29.3943499,-95.2364001,1,0,Adult
180716,South Carolina,Gaston,2400 block of Glenn Road,South Carolina Gaston 2400 block of Glenn Road,33.8756453,-81.1076154,1,0,Adult
170716,Michigan,Rochester (Rochester Hills),1200 block of Lakeview Drive,Michigan Rochester (Rochester Hills) 1200 block of Lakeview Drive,42.6977969,-83.1288121,1,0,Adult
170716,Georgia,Carrollton,Adamson Avenue,Georgia Carrollton Adamson Avenue,33.5742169,-85.0638228,1,0,Adult
160716,Ohio,Cincinnati,6200 block of Chandler Street,Ohio Cincinnati 6200 block of Chandler Street,39.16364,-84.389346,1,0,Adult
150716,Florida,Tallahassee,2684 Tess Circle,Florida Tallahassee 2684 Tess Circle,30.4637922,-84.345352,1,0,Adult
150716,Texas,Houston,Sageland Drive,Texas Houston Sageland Drive,29.6011789,-95.2107779,1,0,Adult
150716,Florida,Lake Worth,7400 block of Michigan Isle Road,Florida Lake Worth 7400 block of Michigan Isle Road,26.5704894,-80.1672063,1,0,Adult
150716,Florida,Tampa (Town N Country),8202 Pinehurst Circle,Florida Tampa (Town N Country) 8202 Pinehurst Circle,28.034299,-82.570667,1,0,Adult
150716,Florida,Port Orange,829 Hudson Lane,Florida Port Orange 829 Hudson Lane,29.1475478,-81.0114395,1,0,Adult
140716,Alabama,Leighton,1500 block of Hwy 157,Alabama Leighton 1500 block of Hwy 157,34.6752067,-87.5719274,1,0,Adult
140716,Colorado,Steamboat Springs,N/A,Colorado Steamboat Springs N/A,40.4833918,-106.8294451,1,0,Adult
130716,Nebraska,Omaha,36th and Grand,Nebraska Omaha 36th and Grand,41.200793,-95.9672823,1,0,Adult
120716,Pennsylvania,Berks (county),1st block of Chapel Lane,Pennsylvania Berks (county) 1st block of Chapel Lane,40.3451566,-75.9927652,1,0,Adult
110716,Texas,Marion (county),Monica Drive,Texas Marion (county) Monica Drive,32.7998026,-94.5588019,1,0,Adult
90716,Florida,Winter Haven,5463 Laurel Oak Drive,Florida Winter Haven 5463 Laurel Oak Drive,27.9689354,-81.7893342,2,1,Adult
80716,Michigan,Alma,Penrith Avenue,Michigan Alma Penrith Avenue,43.3731439,-84.6515734,1,0,Adult
80716,Texas,Mineral Wells,2600 block of S.W 8th Avenue,Texas Mineral Wells 2600 block of S.W 8th Avenue,32.7890311,-98.1225794,1,0,Adult
70716,Montana,Helena,1200 block of Bozeman Street,Montana Helena 1200 block of Bozeman Street,46.6000505,-112.0201525,1,0,Adult
60716,Alabama,Toney,2500 block of Alabama 251,Alabama Toney 2500 block of Alabama 251,34.9001035,-86.8195775,1,0,Adult
60716,Wisconsin,Brown (county),N/A,Wisconsin Brown (county) N/A,44.4561674,-87.9334803,1,0,Adult
30716,Florida,Sarasota,4583 Bee Ridge Road,Florida Sarasota 4583 Bee Ridge Road,27.2991994,-82.4760713,1,0,Adult
30716,Tennessee,Chattanooga (East Ridge),201 Eads Street,Tennessee Chattanooga (East Ridge) 201 Eads Street,35.007453,-85.1884498,1,0,Adult
30716,Kentucky,Lowmansville,July Drive,Kentucky Lowmansville July Drive,37.9209213,-82.7320047,1,0,Adult
20716,California,Oakland,1400 block of Sunshine Court,California Oakland 1400 block of Sunshine Court,37.7584661,-122.1854896,1,1,Adult
20716,California,Lemoore,800 block of Dogwood Avenue,California Lemoore 800 block of Dogwood Avenue,36.3087194,-119.806044,1,0,Adult
10716,Tennessee,Clarksville,874 Samantha Lane,Tennessee Clarksville 874 Samantha Lane,36.6308477,-87.3050691,1,0,Adult
300616,Washington,Manson,SR 150,Washington Manson SR 150,47.8842021,-120.1546939,1,0,Adult
290616,Pennsylvania,Philadelphia,5300 block of E Walnut Lane,Pennsylvania Philadelphia 5300 block of E Walnut Lane,40.0445799,-75.1749465,1,0,Adult
290616,Kentucky,Lewisport,1370 S Chestnut Grove Rd,Kentucky Lewisport 1370 S Chestnut Grove Rd,37.8715488,-86.9365653,1,0,Adult
280616,Wisconsin,Milwaukee,28th Street and Capitol Drive,Wisconsin Milwaukee 28th Street and Capitol Drive,43.0897301,-87.9482688,1,0,Adult
280616,Michigan,Roseville,25800 Gratiot Avenue,Michigan Roseville 25800 Gratiot Avenue,42.4847302,-82.9430976,1,0,Adult
280616,Texas,San Antonio,8600 block of Star Creek Drive,Texas San Antonio 8600 block of Star Creek Drive,29.4661392,-98.6614536,1,0,Adult
280616,Massachusetts,Stoneham,Congress Street,Massachusetts Stoneham Congress Street,42.475855,-71.104284,1,0,Adult
270616,Arizona,Phoenix,1600 block of West Missouri Avenue,Arizona Phoenix 1600 block of West Missouri Avenue,33.5167782,-112.0932022,1,0,Adult
250616,New Jersey,East Orange,112 Norman Street,New Jersey East Orange 112 Norman Street,40.778963,-74.203596,1,0,Adult
240616,Oklahoma,Delaware (county),N/A,Oklahoma Delaware (county) N/A,36.4263135,-94.8105955,1,0,Adult
230616,Pennsylvania,Philadelphia,1800 block of N 20th Street,Pennsylvania Philadelphia 1800 block of N 20th Street,39.981449,-75.1670825,1,0,Adult
220616,Indiana,Indianapolis,3300 block of Wallace Avenue,Indiana Indianapolis 3300 block of Wallace Avenue,39.8155161,-86.0889113,1,0,Adult
220616,Georgia,Adel,800 block of Guy Street,Georgia Adel 800 block of Guy Street,31.1303502,-83.4338447,1,0,Adult
200616,Colorado,Conejos (county),N/A,Colorado Conejos (county) N/A,ZERO_RESULTS,ZERO_RESULTS,1,0,Adult
190616,Texas,San Antonio,8800 block of Village Drive.,Texas San Antonio 8800 block of Village Drive.,29.5198272,-98.4271185,1,1,Adult
180616,Ohio,Amelia,3023 Lindale Mt. Holly Rd,Ohio Amelia 3023 Lindale Mt. Holly Rd,38.9964155,-84.1756367,1,0,Adult
170616,Iowa,Elgin,210 Main Street,Iowa Elgin 210 Main Street,42.9569572,-91.6290806,1,0,Adult
170616,Pennsylvania,Pittsburgh,4290 Melwood Ave,Pennsylvania Pittsburgh 4290 Melwood Ave,40.4586713,-79.9555898,1,0,Adult
130616,West Virginia,Fairmont,Cleveland Avenue,West Virginia Fairmont Cleveland Avenue,39.4878463,-80.1490785,1,0,Adult
120616,New York,Corona (Queens),45th Avenue and National Street,New York Corona (Queens) 45th Avenue and National Street,40.7457864,-73.8641868,1,0,Adult
110616,Louisiana,Baton Rouge,3500 block of Wayne Avenue,Louisiana Baton Rouge 3500 block of Wayne Avenue,30.4847555,-91.147858,1,0,Adult
110616,Texas,Dallas,13700 block of Montfort Drive,Texas Dallas 13700 block of Montfort Drive,32.9347758,-96.8133858,1,0,Adult
80616,Georgia,Calhoun,Dogwood Drive,Georgia Calhoun Dogwood Drive,34.5001515,-84.9236181,1,0,Adult
70616,Michigan,Detroit,5300 block of Radnor,Michigan Detroit 5300 block of Radnor,42.4135161,-82.9207439,1,0,Adult
60616,Florida,Zellwood,2900 block of Winifred Road,Florida Zellwood 2900 block of Winifred Road,28.7273169,-81.597121,1,0,Adult
60616,Georgia,Hawkinsville,18 Franklin Street,Georgia Hawkinsville 18 Franklin Street,32.2805542,-83.4298563,1,0,Adult
60616,Maryland,Annapolis,1300 block of Tyler Avenue,Maryland Annapolis 1300 block of Tyler Avenue,38.9555184,-76.5056591,1,0,Adult
30616,California,Riverside (county),29200 block of Garnet,California Riverside (county) 29200 block of Garnet,33.9019598,-116.5455688,1,0,Adult
